GEO_ID,NAME,households_total,households_no_vehicle,percent_no_vehicle
1400000US22001960100,"Census Tract 9601, Acadia Parish, Louisiana",2246,190,0.084594835
1400000US22001960200,"Census Tract 9602, Acadia Parish, Louisiana",2160,53,0.024537037
1400000US22001960300,"Census Tract 9603, Acadia Parish, Louisiana",1322,82,0.062027231
1400000US22001960400,"Census Tract 9604, Acadia Parish, Louisiana",2529,197,0.077896402
1400000US22001960500,"Census Tract 9605, Acadia Parish, Louisiana",2412,0,0
1400000US22001960600,"Census Tract 9606, Acadia Parish, Louisiana",2007,162,0.080717489
1400000US22001960700,"Census Tract 9607, Acadia Parish, Louisiana",1540,192,0.124675325
1400000US22001960800,"Census Tract 9608, Acadia Parish, Louisiana",1925,95,0.049350649
1400000US22001960900,"Census Tract 9609, Acadia Parish, Louisiana",1868,351,0.187901499
1400000US22001961000,"Census Tract 9610, Acadia Parish, Louisiana",1783,285,0.159842961
1400000US22001961100,"Census Tract 9611, Acadia Parish, Louisiana",1248,66,0.052884615
1400000US22001961200,"Census Tract 9612, Acadia Parish, Louisiana",1196,43,0.035953177
1400000US22003950100,"Census Tract 9501, Allen Parish, Louisiana",1593,59,0.037037037
1400000US22003950200,"Census Tract 9502, Allen Parish, Louisiana",1283,125,0.097427903
1400000US22003950300,"Census Tract 9503, Allen Parish, Louisiana",1186,277,0.233558179
1400000US22003950400,"Census Tract 9504, Allen Parish, Louisiana",1502,85,0.056591212
1400000US22003950500,"Census Tract 9505, Allen Parish, Louisiana",2361,64,0.027107158
1400000US22005030101,"Census Tract 301.01, Ascension Parish, Louisiana",3157,49,0.015521064
1400000US22005030102,"Census Tract 301.02, Ascension Parish, Louisiana",1891,17,0.008989952
1400000US22005030103,"Census Tract 301.03, Ascension Parish, Louisiana",2091,21,0.010043042
1400000US22005030203,"Census Tract 302.03, Ascension Parish, Louisiana",4399,60,0.013639464
1400000US22005030204,"Census Tract 302.04, Ascension Parish, Louisiana",4200,60,0.014285714
1400000US22005030205,"Census Tract 302.05, Ascension Parish, Louisiana",3870,28,0.007235142
1400000US22005030206,"Census Tract 302.06, Ascension Parish, Louisiana",3744,190,0.050747863
1400000US22005030300,"Census Tract 303, Ascension Parish, Louisiana",5424,113,0.020833333
1400000US22005030401,"Census Tract 304.01, Ascension Parish, Louisiana",1797,105,0.058430718
1400000US22005030402,"Census Tract 304.02, Ascension Parish, Louisiana",3218,209,0.064947172
1400000US22005030500,"Census Tract 305, Ascension Parish, Louisiana",3094,90,0.029088559
1400000US22005030600,"Census Tract 306, Ascension Parish, Louisiana",1977,180,0.091047041
1400000US22005030900,"Census Tract 309, Ascension Parish, Louisiana",1584,161,0.101641414
1400000US22005031000,"Census Tract 310, Ascension Parish, Louisiana",2586,266,0.102861562
1400000US22007050100,"Census Tract 501, Assumption Parish, Louisiana",1452,127,0.087465565
1400000US22007050200,"Census Tract 502, Assumption Parish, Louisiana",2044,124,0.060665362
1400000US22007050300,"Census Tract 503, Assumption Parish, Louisiana",1330,130,0.097744361
1400000US22007050400,"Census Tract 504, Assumption Parish, Louisiana",1213,96,0.079142622
1400000US22007050500,"Census Tract 505, Assumption Parish, Louisiana",967,140,0.144777663
1400000US22007050600,"Census Tract 506, Assumption Parish, Louisiana",1546,54,0.034928849
1400000US22009030100,"Census Tract 301, Avoyelles Parish, Louisiana",1136,72,0.063380282
1400000US22009030200,"Census Tract 302, Avoyelles Parish, Louisiana",1090,21,0.019266055
1400000US22009030300,"Census Tract 303, Avoyelles Parish, Louisiana",1329,68,0.05116629
1400000US22009030400,"Census Tract 304, Avoyelles Parish, Louisiana",2686,250,0.093075205
1400000US22009030500,"Census Tract 305, Avoyelles Parish, Louisiana",2638,208,0.078847612
1400000US22009030600,"Census Tract 306, Avoyelles Parish, Louisiana",2051,168,0.081911263
1400000US22009030700,"Census Tract 307, Avoyelles Parish, Louisiana",2195,166,0.075626424
1400000US22009030800,"Census Tract 308, Avoyelles Parish, Louisiana",1042,74,0.071017274
1400000US22009030900,"Census Tract 309, Avoyelles Parish, Louisiana",996,165,0.165662651
1400000US22011960100,"Census Tract 9601, Beauregard Parish, Louisiana",2478,209,0.084342211
1400000US22011960200,"Census Tract 9602, Beauregard Parish, Louisiana",2025,60,0.02962963
1400000US22011960300,"Census Tract 9603, Beauregard Parish, Louisiana",1619,205,0.126621371
1400000US22011960400,"Census Tract 9604, Beauregard Parish, Louisiana",1147,79,0.068875327
1400000US22011960500,"Census Tract 9605, Beauregard Parish, Louisiana",1995,192,0.096240602
1400000US22011960600,"Census Tract 9606, Beauregard Parish, Louisiana",1279,77,0.060203284
1400000US22011960700,"Census Tract 9607, Beauregard Parish, Louisiana",2977,140,0.047027209
1400000US22013970100,"Census Tract 9701, Bienville Parish, Louisiana",1552,372,0.239690722
1400000US22013970200,"Census Tract 9702, Bienville Parish, Louisiana",615,81,0.131707317
1400000US22013970300,"Census Tract 9703, Bienville Parish, Louisiana",1326,147,0.110859729
1400000US22013970400,"Census Tract 9704, Bienville Parish, Louisiana",1111,19,0.01710171
1400000US22013970500,"Census Tract 9705, Bienville Parish, Louisiana",1208,74,0.061258278
1400000US22015010400,"Census Tract 104, Bossier Parish, Louisiana",513,80,0.155945419
1400000US22015010500,"Census Tract 105, Bossier Parish, Louisiana",1794,137,0.076365663
1400000US22015010601,"Census Tract 106.01, Bossier Parish, Louisiana",2743,262,0.095515859
1400000US22015010602,"Census Tract 106.02, Bossier Parish, Louisiana",1471,220,0.149558124
1400000US22015010701,"Census Tract 107.01, Bossier Parish, Louisiana",2120,268,0.126415094
1400000US22015010702,"Census Tract 107.02, Bossier Parish, Louisiana",1669,47,0.028160575
1400000US22015010801,"Census Tract 108.01, Bossier Parish, Louisiana",1370,122,0.089051095
1400000US22015010804,"Census Tract 108.04, Bossier Parish, Louisiana",3359,29,0.008633522
1400000US22015010805,"Census Tract 108.05, Bossier Parish, Louisiana",1683,59,0.035056447
1400000US22015010806,"Census Tract 108.06, Bossier Parish, Louisiana",1677,0,0
1400000US22015010900,"Census Tract 109, Bossier Parish, Louisiana",983,0,0
1400000US22015011001,"Census Tract 110.01, Bossier Parish, Louisiana",3265,27,0.008269525
1400000US22015011002,"Census Tract 110.02, Bossier Parish, Louisiana",1783,18,0.010095345
1400000US22015011103,"Census Tract 111.03, Bossier Parish, Louisiana",2722,37,0.013592946
1400000US22015011105,"Census Tract 111.05, Bossier Parish, Louisiana",2825,66,0.023362832
1400000US22015011106,"Census Tract 111.06, Bossier Parish, Louisiana",3060,103,0.033660131
1400000US22015011107,"Census Tract 111.07, Bossier Parish, Louisiana",773,69,0.089262613
1400000US22015011108,"Census Tract 111.08, Bossier Parish, Louisiana",5999,189,0.031505251
1400000US22015011109,"Census Tract 111.09, Bossier Parish, Louisiana",3626,119,0.032818533
1400000US22015011110,"Census Tract 111.10, Bossier Parish, Louisiana",3297,193,0.058538065
1400000US22015011200,"Census Tract 112, Bossier Parish, Louisiana",1985,58,0.029219144
1400000US22015011300,"Census Tract 113, Bossier Parish, Louisiana",660,219,0.331818182
1400000US22017020500,"Census Tract 205, Caddo Parish, Louisiana",1057,73,0.069063387
1400000US22017020600,"Census Tract 206, Caddo Parish, Louisiana",385,146,0.379220779
1400000US22017020700,"Census Tract 207, Caddo Parish, Louisiana",329,94,0.285714286
1400000US22017021000,"Census Tract 210, Caddo Parish, Louisiana",818,87,0.106356968
1400000US22017021100,"Census Tract 211, Caddo Parish, Louisiana",1011,423,0.418397626
1400000US22017021200,"Census Tract 212, Caddo Parish, Louisiana",1571,169,0.107574793
1400000US22017021300,"Census Tract 213, Caddo Parish, Louisiana",859,189,0.220023283
1400000US22017021400,"Census Tract 214, Caddo Parish, Louisiana",1112,10,0.008992806
1400000US22017021500,"Census Tract 215, Caddo Parish, Louisiana",993,30,0.03021148
1400000US22017021600,"Census Tract 216, Caddo Parish, Louisiana",1747,174,0.099599313
1400000US22017021700,"Census Tract 217, Caddo Parish, Louisiana",516,198,0.38372093
1400000US22017021800,"Census Tract 218, Caddo Parish, Louisiana",387,59,0.15245478
1400000US22017021900,"Census Tract 219, Caddo Parish, Louisiana",478,179,0.374476987
1400000US22017022000,"Census Tract 220, Caddo Parish, Louisiana",644,75,0.116459627
1400000US22017022100,"Census Tract 221, Caddo Parish, Louisiana",2232,702,0.314516129
1400000US22017022200,"Census Tract 222, Caddo Parish, Louisiana",1881,293,0.155768208
1400000US22017022300,"Census Tract 223, Caddo Parish, Louisiana",896,254,0.283482143
1400000US22017022400,"Census Tract 224, Caddo Parish, Louisiana",1041,139,0.133525456
1400000US22017022500,"Census Tract 225, Caddo Parish, Louisiana",1690,375,0.221893491
1400000US22017022600,"Census Tract 226, Caddo Parish, Louisiana",1125,23,0.020444444
1400000US22017022700,"Census Tract 227, Caddo Parish, Louisiana",885,11,0.012429379
1400000US22017022800,"Census Tract 228, Caddo Parish, Louisiana",1576,43,0.027284264
1400000US22017022900,"Census Tract 229, Caddo Parish, Louisiana",2304,138,0.059895833
1400000US22017023000,"Census Tract 230, Caddo Parish, Louisiana",2116,189,0.089319471
1400000US22017023100,"Census Tract 231, Caddo Parish, Louisiana",511,5,0.009784736
1400000US22017023200,"Census Tract 232, Caddo Parish, Louisiana",571,85,0.148861646
1400000US22017023300,"Census Tract 233, Caddo Parish, Louisiana",815,135,0.165644172
1400000US22017023400,"Census Tract 234, Caddo Parish, Louisiana",2289,374,0.163390127
1400000US22017023500,"Census Tract 235, Caddo Parish, Louisiana",1155,265,0.229437229
1400000US22017023600,"Census Tract 236, Caddo Parish, Louisiana",1062,248,0.233521657
1400000US22017023700,"Census Tract 237, Caddo Parish, Louisiana",2177,415,0.190629306
1400000US22017023800,"Census Tract 238, Caddo Parish, Louisiana",2340,345,0.147435897
1400000US22017023901,"Census Tract 239.01, Caddo Parish, Louisiana",3135,210,0.066985646
1400000US22017023903,"Census Tract 239.03, Caddo Parish, Louisiana",1569,124,0.07903123
1400000US22017023904,"Census Tract 239.04, Caddo Parish, Louisiana",1518,125,0.082345191
1400000US22017023905,"Census Tract 239.05, Caddo Parish, Louisiana",2068,170,0.082205029
1400000US22017024000,"Census Tract 240, Caddo Parish, Louisiana",4535,197,0.043439912
1400000US22017024102,"Census Tract 241.02, Caddo Parish, Louisiana",1523,119,0.078135259
1400000US22017024104,"Census Tract 241.04, Caddo Parish, Louisiana",2720,216,0.079411765
1400000US22017024106,"Census Tract 241.06, Caddo Parish, Louisiana",2935,166,0.056558773
1400000US22017024107,"Census Tract 241.07, Caddo Parish, Louisiana",1780,20,0.011235955
1400000US22017024108,"Census Tract 241.08, Caddo Parish, Louisiana",2526,162,0.064133017
1400000US22017024109,"Census Tract 241.09, Caddo Parish, Louisiana",1428,36,0.025210084
1400000US22017024201,"Census Tract 242.01, Caddo Parish, Louisiana",1639,46,0.028065894
1400000US22017024202,"Census Tract 242.02, Caddo Parish, Louisiana",2911,115,0.039505325
1400000US22017024203,"Census Tract 242.03, Caddo Parish, Louisiana",1712,54,0.031542056
1400000US22017024301,"Census Tract 243.01, Caddo Parish, Louisiana",2574,142,0.055167055
1400000US22017024303,"Census Tract 243.03, Caddo Parish, Louisiana",2208,99,0.044836957
1400000US22017024304,"Census Tract 243.04, Caddo Parish, Louisiana",2008,98,0.048804781
1400000US22017024400,"Census Tract 244, Caddo Parish, Louisiana",1929,38,0.019699326
1400000US22017024503,"Census Tract 245.03, Caddo Parish, Louisiana",1898,106,0.055848261
1400000US22017024504,"Census Tract 245.04, Caddo Parish, Louisiana",2193,86,0.039215686
1400000US22017024601,"Census Tract 246.01, Caddo Parish, Louisiana",1759,465,0.264354747
1400000US22017024602,"Census Tract 246.02, Caddo Parish, Louisiana",1525,340,0.22295082
1400000US22017024700,"Census Tract 247, Caddo Parish, Louisiana",725,54,0.074482759
1400000US22017024800,"Census Tract 248, Caddo Parish, Louisiana",421,30,0.071258907
1400000US22017024900,"Census Tract 249, Caddo Parish, Louisiana",1320,95,0.071969697
1400000US22017025000,"Census Tract 250, Caddo Parish, Louisiana",1427,137,0.096005606
1400000US22017025100,"Census Tract 251, Caddo Parish, Louisiana",709,62,0.087447109
1400000US22017025200,"Census Tract 252, Caddo Parish, Louisiana",392,203,0.517857143
1400000US22017025300,"Census Tract 253, Caddo Parish, Louisiana",605,342,0.565289256
1400000US22017025405,"Census Tract 254.05, Caddo Parish, Louisiana",1855,52,0.028032345
1400000US22017025406,"Census Tract 254.06, Caddo Parish, Louisiana",1744,35,0.020068807
1400000US22017980000,"Census Tract 9800, Caddo Parish, Louisiana",0,0,#DIV/0!
1400000US22019000100,"Census Tract 1, Calcasieu Parish, Louisiana",1000,213,0.213
1400000US22019000200,"Census Tract 2, Calcasieu Parish, Louisiana",613,65,0.106035889
1400000US22019000300,"Census Tract 3, Calcasieu Parish, Louisiana",711,165,0.232067511
1400000US22019000400,"Census Tract 4, Calcasieu Parish, Louisiana",484,114,0.23553719
1400000US22019000500,"Census Tract 5, Calcasieu Parish, Louisiana",1775,63,0.035492958
1400000US22019000600,"Census Tract 6, Calcasieu Parish, Louisiana",2581,236,0.091437427
1400000US22019000700,"Census Tract 7, Calcasieu Parish, Louisiana",2279,408,0.179025889
1400000US22019000800,"Census Tract 8, Calcasieu Parish, Louisiana",1684,216,0.128266033
1400000US22019000900,"Census Tract 9, Calcasieu Parish, Louisiana",1519,62,0.040816327
1400000US22019001000,"Census Tract 10, Calcasieu Parish, Louisiana",1861,82,0.044062332
1400000US22019001100,"Census Tract 11, Calcasieu Parish, Louisiana",1927,83,0.043072133
1400000US22019001201,"Census Tract 12.01, Calcasieu Parish, Louisiana",2121,139,0.065535125
1400000US22019001202,"Census Tract 12.02, Calcasieu Parish, Louisiana",1542,360,0.233463035
1400000US22019001300,"Census Tract 13, Calcasieu Parish, Louisiana",2495,0,0
1400000US22019001400,"Census Tract 14, Calcasieu Parish, Louisiana",2287,255,0.111499781
1400000US22019001500,"Census Tract 15, Calcasieu Parish, Louisiana",785,202,0.257324841
1400000US22019001600,"Census Tract 16, Calcasieu Parish, Louisiana",1345,177,0.131598513
1400000US22019001700,"Census Tract 17, Calcasieu Parish, Louisiana",4246,155,0.036504946
1400000US22019001801,"Census Tract 18.01, Calcasieu Parish, Louisiana",4060,283,0.069704433
1400000US22019001901,"Census Tract 19.01, Calcasieu Parish, Louisiana",1579,20,0.012666244
1400000US22019001903,"Census Tract 19.03, Calcasieu Parish, Louisiana",2794,59,0.021116679
1400000US22019001904,"Census Tract 19.04, Calcasieu Parish, Louisiana",2685,296,0.110242086
1400000US22019002000,"Census Tract 20, Calcasieu Parish, Louisiana",3432,18,0.005244755
1400000US22019002100,"Census Tract 21, Calcasieu Parish, Louisiana",1220,89,0.07295082
1400000US22019002201,"Census Tract 22.01, Calcasieu Parish, Louisiana",3100,51,0.016451613
1400000US22019002203,"Census Tract 22.03, Calcasieu Parish, Louisiana",2330,101,0.043347639
1400000US22019002204,"Census Tract 22.04, Calcasieu Parish, Louisiana",1833,63,0.034369885
1400000US22019002300,"Census Tract 23, Calcasieu Parish, Louisiana",1064,16,0.015037594
1400000US22019002400,"Census Tract 24, Calcasieu Parish, Louisiana",1946,105,0.053956835
1400000US22019002500,"Census Tract 25, Calcasieu Parish, Louisiana",1282,20,0.015600624
1400000US22019002600,"Census Tract 26, Calcasieu Parish, Louisiana",1994,93,0.04663992
1400000US22019002700,"Census Tract 27, Calcasieu Parish, Louisiana",2717,95,0.034965035
1400000US22019002800,"Census Tract 28, Calcasieu Parish, Louisiana",1653,244,0.147610405
1400000US22019002900,"Census Tract 29, Calcasieu Parish, Louisiana",950,91,0.095789474
1400000US22019003000,"Census Tract 30, Calcasieu Parish, Louisiana",1927,135,0.070057084
1400000US22019003101,"Census Tract 31.01, Calcasieu Parish, Louisiana",1830,50,0.027322404
1400000US22019003102,"Census Tract 31.02, Calcasieu Parish, Louisiana",954,6,0.006289308
1400000US22019003200,"Census Tract 32, Calcasieu Parish, Louisiana",791,12,0.01517067
1400000US22019003300,"Census Tract 33, Calcasieu Parish, Louisiana",1861,37,0.019881784
1400000US22019003400,"Census Tract 34, Calcasieu Parish, Louisiana",1843,21,0.011394466
1400000US22019003500,"Census Tract 35, Calcasieu Parish, Louisiana",1173,85,0.072463768
1400000US22019003600,"Census Tract 36, Calcasieu Parish, Louisiana",1507,80,0.053085601
1400000US22019980000,"Census Tract 9800, Calcasieu Parish, Louisiana",0,0,#DIV/0!
1400000US22019980100,"Census Tract 9801, Calcasieu Parish, Louisiana",0,0,#DIV/0!
1400000US22021000100,"Census Tract 1, Caldwell Parish, Louisiana",964,22,0.022821577
1400000US22021000200,"Census Tract 2, Caldwell Parish, Louisiana",1207,164,0.135874068
1400000US22021000300,"Census Tract 3, Caldwell Parish, Louisiana",1494,136,0.09103079
1400000US22023970100,"Census Tract 9701, Cameron Parish, Louisiana",2059,0,0
1400000US22023970201,"Census Tract 9702.01, Cameron Parish, Louisiana",675,31,0.045925926
1400000US22023990000,"Census Tract 9900, Cameron Parish, Louisiana",0,0,#DIV/0!
1400000US22025000100,"Census Tract 1, Catahoula Parish, Louisiana",1291,84,0.06506584
1400000US22025000200,"Census Tract 2, Catahoula Parish, Louisiana",843,168,0.199288256
1400000US22025000300,"Census Tract 3, Catahoula Parish, Louisiana",1230,45,0.036585366
1400000US22027950100,"Census Tract 9501, Claiborne Parish, Louisiana",1333,63,0.047261815
1400000US22027950200,"Census Tract 9502, Claiborne Parish, Louisiana",920,90,0.097826087
1400000US22027950300,"Census Tract 9503, Claiborne Parish, Louisiana",1166,175,0.150085763
1400000US22027950400,"Census Tract 9504, Claiborne Parish, Louisiana",1412,220,0.155807365
1400000US22027950500,"Census Tract 9505, Claiborne Parish, Louisiana",1086,65,0.05985267
1400000US22029000100,"Census Tract 1, Concordia Parish, Louisiana",970,41,0.042268041
1400000US22029000200,"Census Tract 2, Concordia Parish, Louisiana",2057,308,0.14973262
1400000US22029000300,"Census Tract 3, Concordia Parish, Louisiana",1432,67,0.046787709
1400000US22029000400,"Census Tract 4, Concordia Parish, Louisiana",1518,78,0.051383399
1400000US22029000500,"Census Tract 5, Concordia Parish, Louisiana",1185,43,0.03628692
1400000US22031950100,"Census Tract 9501, De Soto Parish, Louisiana",3840,230,0.059895833
1400000US22031950200,"Census Tract 9502, De Soto Parish, Louisiana",1673,128,0.076509265
1400000US22031950300,"Census Tract 9503, De Soto Parish, Louisiana",1163,71,0.061049011
1400000US22031950400,"Census Tract 9504, De Soto Parish, Louisiana",1091,163,0.149404216
1400000US22031950500,"Census Tract 9505, De Soto Parish, Louisiana",835,126,0.150898204
1400000US22031950600,"Census Tract 9506, De Soto Parish, Louisiana",1221,417,0.341523342
1400000US22031950700,"Census Tract 9507, De Soto Parish, Louisiana",998,23,0.023046092
1400000US22033000100,"Census Tract 1, East Baton Rouge Parish, Louisiana",555,138,0.248648649
1400000US22033000200,"Census Tract 2, East Baton Rouge Parish, Louisiana",2356,584,0.247877759
1400000US22033000300,"Census Tract 3, East Baton Rouge Parish, Louisiana",544,113,0.207720588
