Parish,Facility,Street,City,Address,Website,Phone
Acadia,Church Point Community Pharmacy,731 S Main Street,Church Point,"731 S Main Street, Church Point, LA",http://www.communitypharmacyrx.com/,(337) 684-1911
Acadia,Super 1 Pharmacy #639,2004 N Parkerson Avenue,Crowley,"2004 N Parkerson Avenue, Crowley, LA",https://www.super1foods.com/stores/crowley-639/6055,(337) 785-2421
Acadia,Walgreens Pharmacy #10399,806 Odd Fellows Road,Crowley,"806 Odd Fellows Road, Crowley, LA",https://www.walgreens.com/covid19vac,
Acadia,Rayne Medicine Shoppe,913 The Boulevard,Rayne,"913 The Boulevard, Rayne, LA",https://rayne.medicineshoppe.com/contact,(337) 334-3399
Ascension,Viallon Drug Company of Donaldsonville,309 Marchand Drive,Donaldsonville,"309 Marchand Drive, Donaldsonville, LA",https://www.facebook.com/Viallon-Drug-Co-of-Donaldsonville-105102667610177/,(225) 725-4288
Ascension,Walgreens Pharmacy #9753,1125 Marchand Drive,Donaldsonville,"1125 Marchand Drive, Donaldsonville, LA",https://www.walgreens.com/covid19vac,
Ascension,Walgreens #11196,12506 Highway 73,Geismar,"12506 Highway 73, Geismar, LA",https://www.walgreens.com/covid19vac,
Ascension,Bertrand's Pharmacy,2001 S Shirley Avenue,Gonzales,"2001 S Shirley Avenue, Gonzales, LA",https://bertrandspharmacy.com/contact,(225) 644-5641
Ascension,Lagniappe Pharmacy #2,117 N Airline Highway,Gonzales,"117 N Airline Highway, Gonzales, LA",https://www.lagniapperx.com/locations,(225) 647-0111
Ascension,Lagniappe Pharmacy #4,40017 Highway 42,Prairieville,"40017 Highway 42, Prairieville, LA",https://www.lagniapperx.com/locations,(225) 622-4817
Ascension,Walgreens #13779,39527 Highway 42,Prairieville,"39527 Highway 42, Prairieville, LA",https://www.walgreens.com/covid19vac,
Ascension,St. Amant Pharmacy,12502 Highway 431,St. Amant,"12502 Highway 431, St. Amant, LA",https://stamantpharmacy.com/contact,(225) 644-7288
Assumption,Assumption Community Hospital Pharmacy,135 Highway 402,Napoleonville,"135 Highway 402, Napoleonville, LA",,(985) 369-3600
Assumption,Reddy Family Medical Center, Napoleonville 154 Highway 1008,Napoleonville," Napoleonville 154 Highway 1008, Napoleonville, LA",https://reddyfamilymedicalclinic.com/,(985) 369-1880
Assumption,Reddy Family Medical - Pierrepart,3407 Highway 70,Pierre Part,"3407 Highway 70, Pierre Part, LA",https://reddyfamilymedicalclinic.com/,(985) 252-1000
Avoyelles,Walmart Pharmacy #1128,7162 Highway 1,Mansura,"7162 Highway 1, Mansura, LA",https://www.walmart.com/store/1128-marksville-la,(318) 253-4073
Avoyelles,Avoyelles Community Health Center,338 Moreau Street,Marksville,"338 Moreau Street, Marksville, LA",https://docs.google.com/forms/d/e/1FAIpQLScoSyXmUE6w-llDU2XREjWL0NV7SQLC94-9UN2AngGvTqRd7w/viewform,(318) 597-8991
Avoyelles,Don's Pharmasave,134 Rue Medecine Street,Marksville,"134 Rue Medecine Street, Marksville, LA",https://www.facebook.com/Dons-Pharmasave-347236548798253/,(318) 359-3774
Avoyelles,Walgreens #11830,236 S Main Street,Marksville,"236 S Main Street, Marksville, LA",https://www.walgreens.com/covid19vac,
Beauregard,Brookshire Brothers Pharmacy #50,1103 W First Street,DeRidder,"1103 W First Street, DeRidder, LA",https://www.brookshirebrothers.com/store-location/store-50,(337) 463-2258
Beauregard,Walgreens #10537,916 N Pine Street,DeRidder,"916 N Pine Street, DeRidder, LA",https://www.walgreens.com/covid19vac,
Bienville,Arcadia Family Pharmacy,1311 Hazel Street,Arcadia,"1311 Hazel Street, Arcadia, LA",https://www.arcadiafamilypharmacy.com/,(318) 263-3948
Bienville,Bienville Community Health Center,3265 Military Rd,Ringgold,"3265 Military Rd, Ringgold, LA",,(318) 894-2341
Bossier,Brookshires Pharmacy #017,6280 Highway 3,Benton,"6280 Highway 3, Benton, LA",https://www.brookshires.com/stores/benton-17/6347,(318) 965-3667
Bossier,Brookshires Pharmacy #107,4918 Barksdale Boulevard,Bossier City,"4918 Barksdale Boulevard, Bossier City, LA",https://www.brookshires.com/stores/bossier-city-107/6320,(318) 549-2107
Bossier,David Raines CHC - Bossier,1514 Doctors Drive,Bossier City,"1514 Doctors Drive, Bossier City, LA",https://www.davidraineschc.org/locations,(318) 549-2500​
Bossier,Kroger Pharmacy #534,1050 George Dement Boulevard,Bossier City,"1050 George Dement Boulevard, Bossier City, LA",https://www.kroger.com/rx/guest/get-vaccinated,(318) 747-3162
Bossier,Super 1 Pharmacy #616,1870 Airline Drive,Bossier City,"1870 Airline Drive, Bossier City, LA",https://www.super1foods.com/stores/bossier-city-616/6032,(318) 746-8401
Bossier,Walgreens #9998,3400 Airline Drive,Bossier City,"3400 Airline Drive, Bossier City, LA",https://www.walgreens.com/covid19vac,
Bossier,Brookshires Pharmacy #057,1125 East Highway 80,Haughton,"1125 East Highway 80, Haughton, LA",https://www.brookshires.com/stores/haughton-57/6386,(318) 949-4131
Bossier,"Kelly Pharmacy, Inc.",302 E Palmetto Avenue,Plain Dealing,"302 E Palmetto Avenue, Plain Dealing, LA",http://www.kellyrx.com/,(318) 326-4229
Caddo,Albertsons/Savon #218,105 E Southfield Road,Shreveport,"105 E Southfield Road, Shreveport, LA",https://www.mhealthsystem.com/Albertsons0218,
Caddo,Boudreaux's Compounding Pharmacy,2551 Greenwood Road,Shreveport,"2551 Greenwood Road, Shreveport, LA",https://www.boudreauxscompounding.com/,(318) 631-2005
Caddo,Brookshires Pharmacy #018,5828 Line Avenue,Shreveport,"5828 Line Avenue, Shreveport, LA",https://www.brookshires.com/stores/shreveport-18/6348,(318) 869-0669
Caddo,Brookshires Pharmacy #024,3000 N Market Street,Shreveport,"3000 N Market Street, Shreveport, LA",https://www.brookshires.com/stores/shreveport-24/6355,(318) 424-5560
Caddo,Brookshires Pharmacy #037,9250 Mansfield Road,Shreveport,"9250 Mansfield Road, Shreveport, LA",https://www.brookshires.com/stores/shreveport-37/6367,(318) 686-6311
Caddo,David Raines CHC - Shreveport North,1625 David Raines Road,Shreveport,"1625 David Raines Road, Shreveport, LA",https://www.davidraineschc.org/locations,(318) 425-2252
Caddo,David Raines CHC - Shreveport West,3021 W 70th Street,Shreveport,"3021 W 70th Street, Shreveport, LA",https://www.davidraineschc.org/locations,(318) 507-3140
Caddo,Drug Emporium #210,5819 E Kings Highway,Shreveport,"5819 E Kings Highway, Shreveport, LA",https://www.drugemporiuminc.com/stores/shreveport-la/,(318) 861-7896
Caddo,Kroger Pharmacy #533,9484 Ellerbe Road,Shreveport,"9484 Ellerbe Road, Shreveport, LA",https://www.kroger.com/rx/guest/get-vaccinated,(318) 517-6973
Caddo,Kroger Pharmacy #539,6652 Youree Drive,Shreveport,"6652 Youree Drive, Shreveport, LA",https://www.kroger.com/rx/guest/get-vaccinated,(318) 795-9966
Caddo,Super 1 Pharmacy #608,2640 Waggoner Avenue,Shreveport,"2640 Waggoner Avenue, Shreveport, LA",https://www.super1foods.com/stores/shreveport-608/6025,(318) 631-2065
Caddo,Walgreens #05181,3555 Greenwood Road,Shreveport,"3555 Greenwood Road, Shreveport, LA",https://www.walgreens.com/covid19vac,
