,longitude,latitude,Parish,Facility,Street,City,Address,Website,Phone
0,-92.209887,30.396925,Acadia,Church Point Community Pharmacy,731 S Main Street,Church Point,"731 S Main Street, Church Point, LA",http://www.communitypharmacyrx.com/,(337) 684-1911
1,-92.382277,30.230415,Acadia,Super 1 Pharmacy #639,2004 N Parkerson Avenue,Crowley,"2004 N Parkerson Avenue, Crowley, LA",https://www.super1foods.com/stores/crowley-639/6055,(337) 785-2421
2,-92.362087,30.230114,Acadia,Walgreens Pharmacy #10399,806 Odd Fellows Road,Crowley,"806 Odd Fellows Road, Crowley, LA",https://www.walgreens.com/covid19vac,
3,-92.269991,30.244977,Acadia,Rayne Medicine Shoppe,913 The Boulevard,Rayne,"913 The Boulevard, Rayne, LA",https://rayne.medicineshoppe.com/contact,(337) 334-3399
4,-90.991926,30.100381,Ascension,Viallon Drug Company of Donaldsonville,309 Marchand Drive,Donaldsonville,"309 Marchand Drive, Donaldsonville, LA",https://www.facebook.com/Viallon-Drug-Co-of-Donaldsonville-105102667610177/,(225) 725-4288
5,-90.98355,30.095299,Ascension,Walgreens Pharmacy #9753,1125 Marchand Drive,Donaldsonville,"1125 Marchand Drive, Donaldsonville, LA",https://www.walgreens.com/covid19vac,
6,-90.988407,30.254112,Ascension,Walgreens #11196,12506 Highway 73,Geismar,"12506 Highway 73, Geismar, LA",https://www.walgreens.com/covid19vac,
7,-90.923189,30.21878,Ascension,Bertrand's Pharmacy,2001 S Shirley Avenue,Gonzales,"2001 S Shirley Avenue, Gonzales, LA",https://bertrandspharmacy.com/contact,(225) 644-5641
8,-90.909586,30.233246,Ascension,Lagniappe Pharmacy #2,117 N Airline Highway,Gonzales,"117 N Airline Highway, Gonzales, LA",https://www.lagniapperx.com/locations,(225) 647-0111
9,-90.938633,30.321555,Ascension,Lagniappe Pharmacy #4,40017 Highway 42,Prairieville,"40017 Highway 42, Prairieville, LA",https://www.lagniapperx.com/locations,(225) 622-4817
10,-90.939744,30.321967,Ascension,Walgreens #13779,39527 Highway 42,Prairieville,"39527 Highway 42, Prairieville, LA",https://www.walgreens.com/covid19vac,
11,-90.869545,30.254339,Ascension,St. Amant Pharmacy,12502 Highway 431,St. Amant,"12502 Highway 431, St. Amant, LA",https://stamantpharmacy.com/contact,(225) 644-7288
12,-91.033863,29.95661,Assumption,Assumption Community Hospital Pharmacy,135 Highway 402,Napoleonville,"135 Highway 402, Napoleonville, LA",,(985) 369-3600
13,-91.029349,29.940632,Assumption,Reddy Family Medical Center, Napoleonville 154 Highway 1008,Napoleonville," Napoleonville 154 Highway 1008, Napoleonville, LA",https://reddyfamilymedicalclinic.com/,(985) 369-1880
14,-91.212469,29.958423,Assumption,Reddy Family Medical - Pierrepart,3407 Highway 70,Pierre Part,"3407 Highway 70, Pierre Part, LA",https://reddyfamilymedicalclinic.com/,(985) 252-1000
15,-92.06191,31.095904,Avoyelles,Walmart Pharmacy #1128,7162 Highway 1,Mansura,"7162 Highway 1, Mansura, LA",https://www.walmart.com/store/1128-marksville-la,(318) 253-4073
16,-92.06854,31.12014,Avoyelles,Avoyelles Community Health Center,338 Moreau Street,Marksville,"338 Moreau Street, Marksville, LA",https://docs.google.com/forms/d/e/1FAIpQLScoSyXmUE6w-llDU2XREjWL0NV7SQLC94-9UN2AngGvTqRd7w/viewform,(318) 597-8991
17,-92.080388,31.131496,Avoyelles,Don's Pharmasave,134 Rue Medecine Street,Marksville,"134 Rue Medecine Street, Marksville, LA",https://www.facebook.com/Dons-Pharmasave-347236548798253/,(318) 359-3774
